Bruttobetrag,SOLL/HABEN,"Konto (Erlöskonto)","Gegenkonto (Debitor)",Belegdatum,Belegnummer,Buchungstext,Zahlungsart,Dokument
159.99,H,44020,111112,171120,20001900,"A: 12006255 | K: 10927",Kreditkarte,PDF
62.62,H,44020,111112,181220,20002132,"A: 12006490 | K: 11165",PayPal,PDF
26.98,H,44020,111112,161120,20001885,"A: 12006239 | K: 10909",PayPal,PDF
18.09,H,44020,111112,031120,20001802,"A: 12006092 | K: 10777",Vorkasse,PDF
70.47,H,44020,111112,041220,20001999,"A: 12006352 | K: 11022",PayPal,PDF
47.16,H,44020,111112,301220,20002330,"A: 12006699 | K: 11380",PayPal,PDF
61.18,H,44020,111112,211020,20001728,"A: 12006045 | K: 10693","Mollie PayPal",PDF
26.39,H,44020,111112,271020,20001760,"A: 12006095 | K: 10778",PayPal,PDF
55.26,H,44020,111112,301120,20001964,"A: 12006319 | K: 10990",PayPal,PDF
369.96,H,44020,111112,301020,20001780,"A: 12006119 | K: 10800",Vorkasse,PDF
57.16,H,44020,111112,090121,20002068,"A: 12006429 | K: 11102",PayPal,PDF
11.39,H,44020,111112,221220,20002212,"A: 12006573 | K: 11249",PayPal,PDF
164.7,H,44020,111112,201020,20001721,"A: 12006023 | K: 10575","Mollie PayPal",PDF
109.9,H,44020,111112,121120,20001854,"A: 12006208 | K: 10881",PayPal,PDF
14.88,H,44020,111112,231220,20002226,"A: 12006580 | K: 11258",PayPal,PDF
14.88,H,44020,111112,231220,20002225,"A: 12006580 | K: 11258",PayPal,PDF
53.07,H,44020,111112,091120,20001830,"A: 12006182 | K: 10857",PayPal,PDF
61.98,H,44020,111112,291020,20001778,"A: 12006118 | K: 10799",PayPal,PDF
52.14,H,44020,111112,281220,20002295,"A: 12006657 | K: 11337",PayPal,PDF
11.39,H,44020,111112,291220,20002317,"A: 12006683 | K: 11364",PayPal,PDF
14.49,H,44020,111112,161220,20002107,"A: 12006464 | K: 11138",PayPal,PDF
13.88,H,44020,111112,301220,20002343,"A: 12006715 | K: 11398",PayPal,PDF
63.53,H,44020,111112,121020,20001688,"A: 12006001 | K: 10294","Mollie PayPal",PDF
51.14,H,44020,111112,301220,20002351,"A: 12006719 | K: 11402",PayPal,PDF
15.99,H,44020,111112,281220,20002256,"A: 12006608 | K: 11285",PayPal,PDF
240.29,H,44020,111112,141220,20002072,"A: 12006427 | K: 11100",PayPal,PDF
73.71,H,44020,111112,211220,20002179,"A: 12006541 | K: 11218",PayPal,PDF
83.88,H,44020,111112,151220,20002084,"A: 12006440 | K: 11113",PayPal,PDF
60.87,H,44020,111112,041120,20001811,"A: 12006154 | K: 10835",PayPal,PDF
45.02,H,44020,111112,221220,20002216,"A: 12006576 | K: 11253",PayPal,PDF
87.77,H,44020,111112,281220,20002283,"A: 12006635 | K: 11315",PayPal,PDF
53.79,H,44020,111112,211220,20002184,"A: 12006547 | K: 11224",PayPal,PDF
66.52,H,44020,111112,141220,20002078,"A: 12006436 | K: 11109",PayPal,PDF
3675,H,44020,111112,131120,20001865,"A: 12006195 | K: 10868",PayPal,PDF
29.39,H,44020,111112,281220,20002268,"A: 12006622 | K: 11302",PayPal,PDF
14.06,H,44020,111112,181220,20002124,"A: 12006482 | K: 11157",PayPal,PDF
63.4,H,44020,111112,201120,20001918,"A: 12006271 | K: 10942",PayPal,PDF
74.28,H,44020,111112,101020,20001687,"A: 12006000 | K: 10547","Mollie PayPal",PDF
